jd_id,role_title,company,source_title,source_url,source_domain,jd_text,date_scraped,exp_min_years,exp_max_years,exp_evidence,seniority_level,seniority_evidence
6bd98751-4eab-439f-a1de-9be9c7065f27,Data Scientist,,SmartRecruiters Job Search,https://jobs.smartrecruiters.com/,jobs.smartrecruiters.com,,2025-08-17,,,,Unspecified,
b94df64a-a2d3-40c2-b031-26b20d5d8d79,Data Scientist,,Data Scientist @ Sardine,https://jobs.ashbyhq.com/sardine/030e9a89-d3f9-4021-9b5d-3b2b386beebc/application,jobs.ashbyhq.com,"Who we are: We are a leader in fraud prevention and AML compliance. Our platform uses device intelligence, behavior biometrics, machine learning, and AI to stop fraud before it happens. Today, over 300 banks, retailers, and fintechs worldwide use Sardine to stop identity fraud, payment fraud, account takeovers, and social engineering scams. We have raised $145M from world-class investors, including Andreessen Horowitz, Activant, Visa, Experian, FIS, and Google Ventures. Our culture: - We have hubs in the Bay Area, NYC, Austin, and Toronto. However, we maintain a remote-first work culture. #WorkFromAnywhere - We hire talented, self-motivated individuals with extreme ownership and high growth ",2025-08-17,,,,Unspecified,
40b1254f-9bc3-41bd-8893-ec6d56373c1d,Data Scientist,,Sr. Data Scientist @ Zapier,https://jobs.ashbyhq.com/zapier/09153f8e-099e-46d0-abde-a7f95ea40b9d,jobs.ashbyhq.com,"ABOUT ZAPIER We're humans who simply think computers should do more work. At Zapier https://zapier.com/about, we’re not just making software—we’re building a platform to help millions of businesses globally scale with automation and AI https://zapier.com/ai. Our mission is to make automation work for everyone by delivering products that delight our customers https://zapier.com/customer-stories. You’ll collaborate with brilliant people, use the latest tools, and leverage the flexibility of remote work. Your work will directly fuel our customers’ success https://zapier.com/zapconnect, and as they grow, so will you. Job Posted: July 21, 2025 Location: Americas (North, Central and South America)",2025-08-17,,,,Senior,sr
ac89480a-a73a-401e-94eb-82985466135c,Data Scientist,,Senior Data Scientist @ Grindr,https://jobs.ashbyhq.com/Grindr+LLC/dbef48e7-1d2c-4d3c-ae7e-decc022859b6,jobs.ashbyhq.com,,2025-08-17,,,,Senior,senior
b6dba9e8-d710-4821-922c-a35a4b668bbc,Data Scientist,,Data Scientist @ Tandem,https://jobs.ashbyhq.com/tandem/1ae72b76-5611-4423-a2ea-e11933cea33f,jobs.ashbyhq.com,Join as our growing data team!,2025-08-17,,,,Unspecified,
2c80535b-562e-44a3-8f3e-d2d3513811f4,Machine Learning Engineer,,Senior Machine Learning Engineer @ Weave,https://jobs.ashbyhq.com/weave/b58bc58b-dec3-411a-9237-9adf84a56438,jobs.ashbyhq.com,"Weave is looking for engineers hungry for fun challenges who can join our self-empowered teams and contribute in both technical and non-technical ways. You will be joining a team of talented developers that share a common interest in distributed backend systems, data, scalability, and continued development. You will get a chance to apply these, and other skills, to new and ongoing projects to make machine learning more approachable, data more available, and easier to discover and use by helping design how teams build out AI powered features at Weave. Our teams are cross-functional agile teams composed of a product owner, backend and frontend devs and devops. Teams are highly autonomous with ",2025-08-17,,,,Senior,senior
33d821f8-a3d4-4d2a-8e61-3c69ef566c5a,Machine Learning Engineer,,Machine Learning Engineer @ withco,https://jobs.ashbyhq.com/withco/43c2d5a0-a39e-4e2d-b2be-f8fc68e99c4a,jobs.ashbyhq.com,Machine Learning Engineer,2025-08-17,,,,Unspecified,
fd1e7b1b-e909-44a7-8691-43271e01d7e4,Machine Learning Engineer,,Machine Learning Engineer @ Orchard Robotics,https://jobs.ashbyhq.com/orchard/49a214b1-4bcd-4fbb-83b6-d281fc4d1b30,jobs.ashbyhq.com,Machine Learning Engineer at Orchard Robotics.,2025-08-17,,,,Unspecified,
f89379b7-d850-4a5d-841d-c657c0b1a24e,Machine Learning Engineer,,"Machine Learning Engineer, Personalization @ Whatnot",https://jobs.ashbyhq.com/whatnot/93ea97e8-c575-4edf-8f4e-a52f4a239136,jobs.ashbyhq.com,"🚀 JOIN THE FUTURE OF COMMERCE WITH WHATNOT! Whatnot is the largest livestream shopping platform in North America and Europe to buy, sell, and discover the things you love. We’re re-defining e-commerce by blending community, shopping, and entertainment into a community just for you. As a remote co-located team, we’re inspired by innovation and anchored in our values https://www.whatnot.com/careers. With hubs in the US, UK, Ireland, Poland, and Germany, we’re building the future of online marketplaces—together. From fashion, beauty, and electronics to rare collectibles like trading cards, comic books, and even live plants, our live auctions have something for everyone. And we’re just getting s",2025-08-17,,,,Unspecified,
2305bbb5-fe57-4a7d-83b3-cff13119a887,Machine Learning Engineer,Hive,Machine Learning Engineer - Hive,https://jobs.lever.co/hive/fb175ecc-b6ba-4242-a84a-8699f9b0e971,jobs.lever.co,"Everything involved in applying a ML model to a production use case, including, designing and coding up the neural network, gathering and refining data, training and tuning the model, deploying it at scale with high throughput and uptime, and analyzing the results in the wild in order to continuously update and improve accuracy and speed Interface closely with the Backend and DevOps teams as well as with our internal data labeling services Utilize OWASP top 10 techniques to secure code from vulnerabilities Maintain awareness of industry best practices for data maintenance handling as it relates to your role Adhere to policies, guidelines and procedures pertaining to the protection of informa",2025-08-17,1.0,2.0,1-2 years,Unspecified,
